那是我的台词！	That's MY line!
丟鲱鱼抓鯨魚。	Throw a sprat to catch a whale.
海盗把財寶藏進了地底。	The pirates buried their treasure in the ground.
去海滩走哪条路？	Which way is the beach?
我有個到國外旅遊的機會。	I had a chance to travel abroad.
如果你是第一次到外國生活的話，加拿大會很適合你。	Canada is a good place to go if it's your first experience living abroad.
在海外長大的日本孩子雖然能說流利的日文，但他們回國讀書的時候，有時也會覺得難以適應新環境。	Japanese children brought up overseas sometimes face great difficulty in adjusting themselves to Japanese schools after returning, even though they have a perfect command of Japanese.
海洋不是将世界分隔开来，而是将世界连接起来	Oceans do not so much divide the world as unite it.
太陽從海上升起了。	The sun rose from the sea.
有些人只追求快乐。	Some people pursue only pleasure.
作為一個良好的交談者，並不只意味著作一個英語說得好的說話者。	Being a good conversationalist does not just mean being a good speaker of English.
會堂裏擠滿了聽眾，連一點站立的空間也沒有。	The hall was filled with such a large audience that there wasn't even standing room.
在此僅代表本公司向各位致上衷心的謝意。	On behalf of the company, I would like to express our hearty thanks to you all.
管理一間公司和擁有一間公司是不能相提並論的兩回事。	Management of a company is different from ownership of a company.
自從公司合併了以後，一切都變得十分混亂。	The office has been topsy-turvy since the merger upset everything.
社會是由個人組成的。	The community is made up of individuals.
公司放弃了那个项目。	The company abandoned that project.
我們很快的結束了這個會議。	We got the meeting over with quickly.
在出口處的收银台付款。	Pay the cashier on the way out.
會議將在東京舉行。	The conference is to be held in Tokyo.
會議將會在七月十五日（星期二）的下午、七月十六日（星期三）的全天和七月十七日（星期四）的早上舉行。	Meetings are to be held on the afternoon of July 15 (Tuesday), all day July 16 (Wednesday), and the morning of July 17 (Thursday).
在這次會議上, 他壟斷了討論並徹底打亂了議程。	At the meeting he monopolized the discussion and completely disrupted the proceeding.
小別勝新婚，久别情更深。	Absence makes the heart grow fonder.
硬着头皮。	Bite the bullet.
我们日本人以米饭为主食。	We Japanese live on rice.
我們並不是全部都會講英語。	Not all of us can speak English.
我們一直討論到很晚。	We carried on the discussion till late at night.
我們給了母親一支手錶。	We gave our mother a watch.
我們搭飛機去墨西哥旅行。	We traveled to Mexico by plane.
我們提供了難民們毛毯。	We furnished the refugees with blankets.
我們連她的名字也沒有聽過。	We hadn't so much as heard of her name.
我們可以信賴他的判斷。	We can rely on his judgement.
我們要尊重傳統文化。	We must have respect for tradition.
我们成了整个村庄的笑柄。	We've become a mockery to the whole village.
我們都跪了下來祈禱。	We all knelt down to pray.
我们吃是为了活着。	We eat that we may live.
我們在世界人口問題上爭辯了一番。	We debated on the question of world population.
我們朝著正北走去。	We went due north.
我們在森林裏開了一條路。	We cleared a path through the woods.
我們必須為未來作好準備。	We must provide for the future.
我們因缺乏準備而失敗了。	We failed due to a lack of preparation.
我們閒時應該出外曬曬太陽。	We should sometimes expose our bodies to the sun.
我們必須知道事情的真相。	We have to get at the truth of the matter.
我們發現了沙灘上的腳印。	We found the footprints in the sand.
我們身在原子能時代。	We are in the era of atomic energy.
我們被捲入了一場交通事故。	We got involved a traffic accident.
我們決不會屈服於恐怖份子的要求之下。	We will never give in to terrorist demands.
我們得到了一份有趣的情報。	We got an interesting piece of information.
我们希望在放假前做完了工作。	We hoped to have done with the work before the holidays.
我們要面對許多的困難。	We have to cope with hosts of difficulties.
我們大獲全勝。	We were completely victorious.
我們討論了那個問題。	We discussed the problem.
我們把小偷捉住了。	We captured the thief.
我們收到消息時都嚇了一跳。	We were surprised at the news.
我們把所有的材料放在一起。	We got all the materials together.
我們的結論就是，那個傳言是真的。	We've come to the conclusion that this is a true story.
我們取笑了他這一點。	We made fun of him about this.
我們無論如何也應該遵守法律。	We should always act in obedience to the law.
我們始終都有死的一天。	We shall all die some day.
我们是不是直飞美国？	Are we making a nonstop flight to the U.S.?
我們六點鐘到了車站。	We got to the station at six.
我們的新總部位於東京。	Our new head office is in Tokyo.
我們的計劃是向都市前進。	Our plans are advanced toward the city.
我國是溫帶氣候。	Our country's climate is temperate.
我們的電腦系統起初出了點問題，不過現在已經修理好了。	Initially we had some problems with our computer system but they've been sorted out now.
给我们工具，我们会完成工作。	Give us the tools, and we will finish the job.
我們的看法有一點不同。	We had a slight difference of opinion.
当我们走到转角处，湖就映入了眼帘。	As we went around the corner, the lake came into view.
我們是最早來到的。	We are the first to arrive.
我們已經準備好應付千年蟲。	We're thoroughly prepared for the millennium bug.
我們家快要添丁了。	We are expecting an addition to our family.
我被很多的蚊子叮了。	I got a lot of mosquito bites.
他疲勞過度，又睡眠不足，最後便病倒了。	What with fatigue and lack of sleep, he has fallen ill at last.
我们最近十年经历了很多变化。	We have experienced many changes over the last decade.
不要担心过去。	Don't worry about the past.
你一定要活在當下，不能總是留戀過去。	You must live in the present, not in the past.
彌補永遠不會太晚。	It's never too late to make amends.
為濺出的牛奶哭也沒用。	It is no use crying over spilt milk.
我把你的花瓶打破了，真對不起。	I must apologize to you for breaking the vase.
花瓶摔成碎片了。	The vase crashed to pieces.
花子決心要去巴黎。	Hanako is set on going to Paris.
麵包比鳥的鳴唱好。	Bread is better than the songs of birds.
花瓣浮在水面上。	The petals are floating on the water.
鮮花盛開。	Flowers bloom.
據說火星上是沒有生物的。	It is said that there is no life on Mars.
火星上有生物嗎？	Is there any life on Mars?
要即時撲滅那火災並不容易。	It was not easy to put out the fire at once.
火馬上就被撲熄了。	The fire was extinguished at once.
在全体职员回家后，火事爆发了。	The fire broke out after the staff went home.
