我們試試看！	我們 試試看 ！
他是哈佛大学的生物学教授。	他 是 哈佛 大学 的 生物学 教授 。
他长大了会成为一名医生。	他 长大了 会 成为 一名 医生 。
银行对风险客户收取较高的贷款利息。	银行 对 风险 客户 收取 较高 的 贷款 利息 。
你为什么说要去公园散步？	你 为什么 说 要 去 公园 散步 ？
观众人数庞大。	观众 人数 庞大 。
写下你名字的大写字母。	写下 你 名字 的 大写字母 。
我不太明白他说什么。	我 不太 明白 他 说 什么 。
我对外籍员工没有偏见。	我 对外 籍 员工 没有 偏见 。
我明早八点来接你。	我 明早 八点 来接 你 。
我相信他会信守诺言。	我 相信 他 会 信守 诺言 。
我们看见池里有很多活鱼。	我们 看见 池 里 有 很多 活鱼 。
用鼻子顶住一个球很困难。	用 鼻子 顶住 一个 球 很 困难 。
您学习吗？	您 学习 吗 ？
他有很多历史书籍。	他 有 很多 历史 书籍 。
所有迹象表明她好起来了。	所有 迹象 表明 她 好起来 了 。
即使他们有很好的酒单，我也不想在这里用餐。	即使 他们 有 很好 的 酒 单 ， 我 也 不想 在这里 用餐 。
建筑物在地震中摇晃。	建筑物 在 地震 中 摇晃 。
由医生来决定某人何时该死是对的吗？	由 医生 来 决定 某人 何时 该死 是 对的 吗 ？
谁来为风险投资提供资金？	谁 来 为 风险投资 提供 资金 ？
他很快便与小区里新来的男孩交上了朋友。	他 很快 便与 小区 里 新来的 男孩 交上 了 朋友 。
他的政权必定会崩溃。	他的 政权 必定 会 崩溃 。
小偷迅速地窜入了人群。	小偷 迅速 地 窜入 了 人群 。
我上周不忙。	我 上周 不忙 。
游泳使腿部强健。	游泳 使 腿部 强健 。
现在的人教育程度比以前高得多。	现在 的 人 教育 程度 比 以前 高 得 多 。
我不能让自己做这样的事。	我 不能 让 自己做 这样 的 事 。
接受对方的准则就是给予他权力。	接受 对方 的 准则 就是 给予 他 权力 。
我将确保你们在第一年后有一个增长。	我 将 确保 你们 在 第一年 后 有一个 增长 。
他对日本的历史非常感兴趣。我们很惊讶他在这方面的丰富知识。	他 对 日本 的 历史 非常 感兴趣 。 我们 很 惊讶 他 在 这 方面 的 丰富 知识 。
把你的自行车放好。	把你 的 自行车 放好 。
昨天是Alice去了演唱会。	昨天 是 Alice去了演唱会 。
我们去了林中散步。	我们 去了 林中 散步 。
汽笛声响起，船开始慢慢地驶离港口。	汽笛声 响起 ， 船 开始 慢慢 地 驶离 港口 。
孩子们应该每天喝牛奶。	孩子们 应该 每天 喝 牛奶 。
这张照片让我想起童年的快乐时光。	这张 照片 让我 想起 童年 的 快乐 时光 。
简而言之，我不同意。	简而言之 ， 我 不同意 。
但是他不常微笑。	但是 他 不常 微笑 。
要去博物馆，你就得乘那辆车。	要 去 博物馆 ， 你 就得 乘 那辆 车 。
除非雨停了，我们才会出去。	除非 雨停了 ， 我们 才 会 出去 。
我爸爸对我的爱和照顾不比我妈妈少。	我爸 爸 对 我的 爱 和 照顾 不比 我妈 妈 少 。
他试图游过河，但是失败了。	他 试图 游过 河 ， 但是 失败 了 。
告诉我你对湘南做了什么。	告诉 我 你 对 湘 南 做了 什么 。
我已经受够了这个计划。	我 已经 受够 了 这个 计划 。
他不再是以前那个他。	他 不再 是以 前 那个 他 。
我发现他在花园里干活。	我 发现 他 在 花园 里 干活 。
毕加索是个有名的艺术家。	毕 加索 是 个 有名 的 艺术家 。
这是一个例外。	这 是 一个 例外 。
他说他饿了。	他 说 他 饿了 。
生活很困难，但我更坚强。	生活 很 困难 ， 但 我 更 坚强 。
这个班有多少男生？	这个 班 有多 少男 生 ？
这一消息证实了我的怀疑。	这 一 消息 证实 了 我的 怀疑 。
看那座被雪覆盖的山。	看 那座 被 雪 覆盖 的 山 。
她没有任何亲戚朋友照顾她。	她 没有 任何 亲戚 朋友 照顾 她 。
你的妈妈会开车吗？	你的 妈妈 会 开车 吗 ？
现在的孩子认为解决任何生活问题都像重新开始一个电脑游戏那么简单。	现在 的 孩子 认为 解决 任何 生活 问题 都 像 重新 开始 一个 电脑 游戏 那么 简单 。
我们也去了庙里。	我们 也 去了 庙里 。
我想要去伦敦。	我 想要 去 伦敦 。
你其实没必要带伞。	你 其实 没 必要 带 伞 。
这箱子是空的，里面什么也没有。	这 箱子 是 空的 ， 里面 什么 也 没有 。
他大半生都住在国外。	他 大半 生 都 住在 国外 。
情况一天比一天差。	情况 一天 比 一天 差 。
这架飞机一次可以携带40名乘客。	这架 飞机 一次 可以 携带 40 名 乘客 。
你们对外语感兴趣吗？	你们 对外 语感 兴趣 吗 ？
没有人跑在他前面。	没有人 跑在 他 前面 。
如果我现在有100万日元，我会买辆车。	如果 我 现在 有 100 万 日元 ， 我 会 买辆 车 。
你相信上帝吗？	你 相信 上帝 吗 ？
在某种程度上你是对的，但我还是有疑问。	在某种程度上 你是 对的 ， 但 我 还是 有疑问 。
我们终于登上了富士山山顶。	我们 终于 登上 了 富士山 山顶 。
他们午饭吃了三明治。	他们 午饭 吃 了 三明治 。
我也想要和你身上那件同样的外套。	我 也 想要 和 你 身上 那件 同样 的 外套 。
你觉得她最想要什么纪念品？	你 觉得 她 最 想要 什么 纪念品 ？
做你想做的。	做 你 想做 的 。
这些食物看起来很好吃。	这些 食物 看起来 很好 吃 。
她的故事带我回到了童年。	她的 故事 带 我 回到 了 童年 。
我不知道她什么时候从法国回来。	我 不知道 她 什么时候 从 法国 回来 。
我有一个大家庭。	我 有一个 大家庭 。
明早九点给我打电话。	明早 九点 给 我 打电话 。
努力。	努力 。
这不是我的包。	这 不是 我的 包 。
我拿成了你的雨伞。	我 拿 成了 你的 雨伞 。
你怎么拼“pretty”？	你 怎么 拼 “ pretty ” ？
开车真的非常简单。	开车 真的 非常 简单 。
对我说“你好，你怎么样？”什么用都没有，如果你没有其它可说的。	对 我 说 “ 你好 ， 你 怎么样 ？ ” 什么 用 都 没有 ， 如果 你 没有 其它 可说 的 。
会议室正在使用中。	会议室 正在 使用 中 。
检查一下！	检查 一下 ！
他尝了芝士蛋糕。	他 尝了 芝 士 蛋糕 。
她无法直视我的脸。	她 无法 直视 我的 脸 。
睡眠是最大的小偷，它偷了我们一半的生命。	睡眠 是 最大 的 小偷 ， 它 偷了 我们 一半 的 生命 。
我对摄影感兴趣。	我 对 摄影 感兴趣 。
我买了一盏古老的灯。	我 买了 一盏 古老 的 灯 。
你可以坐船去那。	你 可以 坐船 去 那 。
说和做是两码事。	说和 做 是 两码事 。
他说得好像知道这个秘密一样。	他 说得 好像 知道 这个 秘密 一样 。
他拿到了现代文学的文凭。	他 拿到 了 现代 文学 的 文凭 。
他不蠢。	他 不蠢 。
爱，就是一个人把另一个人的心揉碎的过程。	爱 ， 就是 一个 人 把 另一个 人 的 心 揉碎 的 过程 。
他们生活得很幸福。	他们 生活 得很 幸福 。
她有很多事要做。	她 有 很多 事 要 做 。
我直视他的眼睛。	我 直视 他的 眼睛 。
全体销售人员通宵达旦地工作了一周。	全体 销售 人员 通宵达旦 地 工作 了 一周 。
这个诗人兼学者死了。	这个 诗人 兼 学者 死了 。
他简单地阐述了他的理由。	他 简单 地 阐述 了 他的 理由 。
你还需要茶吗？	你 还 需要 茶 吗 ？
有效期到1997年3月31日为止。	有效期 到 1997 年 3 月 31 日 为止 。
我们去滑雪怎么样？	我们 去 滑雪 怎么样 ？
我们采取了强有力的预防措施。	我们 采取 了 强有力 的 预防 措施 。
他在森林中迷了路。	他 在 森林 中 迷了 路 。
不要把我们的计划告诉任何人。	不要 把 我们 的 计划 告诉 任何人 。
Tom躲在桌子底下。	Tom躲在桌子底下 。
他告诉了我们许多经验教训。	他 告诉 了 我们 许多 经验教训 。
这房子里似乎在办派对。	这 房子 里 似乎 在 办 派对 。
我会教你怎么开车。	我 会 教 你 怎么 开车 。
威尼斯的圣马可广场在夏季总是挤满了游客。	威尼斯 的 圣 马可 广场 在 夏季 总是 挤满 了 游客 。
我们必须保持家庭传统。	我们 必须 保持 家庭 传统 。
他能游得很快。	他 能 游 得很 快 。
一个神圣的仪式在庄严的庙宇中举行。	一个 神圣 的 仪式 在 庄严 的 庙宇 中 举行 。
我厌倦了我的工作。	我 厌倦 了 我的 工作 。
你们周日送货吗？	你们 周日 送货 吗 ？
我想再来一杯啤酒。	我 想 再来 一杯 啤酒 。
他可能迷路了。	他 可能 迷路 了 。
他出卖了我。	他 出卖 了 我 。
天冷得足以让湖结冰。	天冷 得 足以 让 湖 结冰 。
我不知道，也不想知道。	我 不知道 ， 也 不想 知道 。
去年她离开了日本。	去年 她 离开 了 日本 。
这意味着其他人只能从听你说的话来了解你和喜欢你。	这 意味着 其他人 只能 从 听 你说 的话 来 了解 你 和 喜欢 你 。
今晚我将在朋友家过夜。	今晚 我 将 在 朋友 家 过夜 。
我需要购买新的镜架。	我 需要 购买 新的 镜架 。
我弟弟手里拿着一个摄像机。	我 弟弟 手里 拿着 一个 摄像机 。
我们在这里下车吧。	我们 在这里 下车 吧 。
Kate, 坐吧。	Kate , 坐吧 。
我妹妹21岁，是个大学生。	我 妹妹 21 岁 ， 是 个 大学生 。
你会发现难以满足她。	你 会 发现 难以 满足 她 。
除非我死了！	除非 我 死了 ！
我尊敬长辈。	我 尊敬 长辈 。
有什么比失明更不幸的呢？	有 什么 比 失明 更不 幸 的呢 ？
他们的合同在这个月底到期。	他们的 合同 在 这个月 底 到期 。
帮我一下。	帮我 一下 。
爱都是嫉妒的。	爱都 是 嫉妒 的 。
仅三分之一的成员出席了会议。	仅 三分之一 的 成员 出席 了 会议 。
让我看看那些照片。	让我 看看 那些 照片 。
厕所冲水不正常。	厕所 冲水 不正常 。
我们的孩子喜欢狗，但我更喜欢猫。	我们 的 孩子 喜欢 狗 ， 但 我 更喜欢 猫 。
我欠她10美元。	我 欠 她 10 美元 。
我们必须考虑到他很年轻。	我们 必须 考虑到 他 很 年轻 。
她一到，我们就开始。	她 一到 ， 我们 就 开始 。
我挑不出他的毛病。	我 挑 不出 他的 毛病 。
你能为我腾出几分钟时间吗?	你能 为 我 腾出 几分 钟 时间 吗 ?
2月我们有个短期休假。	2 月 我们 有个 短期 休假 。
你有义务还债。	你 有义务 还债 。
她没有辜负我们的期望。	她 没有 辜负 我们 的 期望 。
停车场是免费的。	停车场 是 免费 的 。
他父母对他期望过高。	他 父母 对 他 期望 过高 。
问题是我们如何应付目前的困难。	问题 是 我们 如何 应付 目前 的 困难 。
她戴上了她的帽子。	她 戴上 了 她的 帽子 。
我想看看。	我 想 看看 。
你在听我说吗？	你 在 听我 说 吗 ？
孩子在这条河里游泳太危险了。	孩子 在 这条 河里 游泳 太 危险 了 。
报纸、杂志和新闻广播讲述着世界上正在发生的事。	报纸 、 杂志 和 新闻 广播 讲述 着 世界上 正在 发生 的 事 。
每年有成千上万的外国人访问日本。	每年 有成 千 上万 的 外国人 访问 日本 。
这被认为是一件大事。	这 被认为 是 一件 大事 。
如果你快一点，还能赶上他。	如果 你 快 一点 ， 还能 赶上 他 。
老人试图游5公里。	老人 试图 游 5 公里 。
除了雨天，我都是骑车去上班的。	除了 雨天 ， 我 都 是 骑车 去 上班 的 。
她原谅了男孩的粗鲁。	她 原谅 了 男孩 的 粗鲁 。
病人随时会死。	病人 随时 会死 。
是它的两倍大。	是 它的 两倍 大 。
一个人要为他的行为负责。	一个 人 要 为 他的 行为 负责 。
你会代替我去派对吗？	你 会 代替 我 去 派对 吗 ？
她放下手中的针线活，并站了起来。	她 放下 手中 的 针线 活 ， 并 站了 起来 。
这是找零。	这 是 找 零 。
他是日本最伟大的艺术家之一。	他 是日 本 最 伟大 的 艺术家 之一 。
父亲常常在空闲时间读侦探小说。	父亲 常常 在 空闲 时间 读 侦探小说 。
我通常在晚上洗澡。	我 通常 在 晚上 洗澡 。
这对他没有影响。	这 对 他 没有 影响 。
他每天去学校学习。	他 每天 去 学校 学习 。
妈妈为我准备了午饭。	妈妈 为 我 准备 了 午饭 。
你能再给我点茶吗？	你能 再给 我 点 茶 吗 ？
一些人通过阅读来放松。	一些人 通过 阅读 来 放松 。
整个夏天，我们在那里过得很愉快。	整个 夏天 ， 我们 在那里 过得 很 愉快 。
有了坚定的目标，你会做得很好。	有了 坚定 的 目标 ， 你 会 做得 很好 。
我厌倦了他的老笑话。	我 厌倦 了 他的 老 笑话 。
她的眼里涌出了泪水。	她的 眼里 涌出 了 泪水 。
公园里有很多人。	公园 里 有 很多人 。
第一排的座位5美元。	第一 排 的 座位 5 美元 。
你更喜欢哪个，这个还是那个？	你 更喜欢 哪个 ， 这个 还是 那个 ？
我小时候常常独自玩耍。	我 小时候 常常 独自 玩耍 。
这是去牛津大学的车吗？	这 是 去 牛津 大学 的 车 吗 ？
我们将于下周日结婚。	我们 将于 下周 日 结婚 。
